id,instance_id,item_id,checked,photo_path,note,completed_by,completed_at
47ca67c8-4522-4721-8ca4-b17d3245cb3c,2fba455a-6033-45c0-8ccd-898b396cb3a6,24bc3e90-66df-4c5b-8470-6c091ea3b2ec,true,,,2bd39912-7f4b-4a80-870a-7379c50d6816,2026-06-01T09:10:00+03:00
5384c9d0-6c2c-4f11-8f6f-7d59d3ffe82d,2fba455a-6033-45c0-8ccd-898b396cb3a6,e87e8712-78b5-4180-8804-da19a1291d83,true,,,2bd39912-7f4b-4a80-870a-7379c50d6816,2026-06-01T09:11:00+03:00
d0c95ce7-0f52-4c00-8adf-780a277d6bd1,2fba455a-6033-45c0-8ccd-898b396cb3a6,a0bb9919-70a2-49bb-88b6-1d31027e3c55,true,demo/KDS-CC/opening/1/2.jpg,,2bd39912-7f4b-4a80-870a-7379c50d6816,2026-06-01T09:12:00+03:00
c0d5447f-285c-4245-8ed9-3b7d3dc7cee4,2fba455a-6033-45c0-8ccd-898b396cb3a6,8a8ef79d-12ec-40c7-82d5-85a7584287e0,true,,,2bd39912-7f4b-4a80-870a-7379c50d6816,2026-06-01T09:13:00+03:00
5282f1c4-5122-4956-802f-774a938f80cc,2fba455a-6033-45c0-8ccd-898b396cb3a6,4e657d46-fd2a-42ec-8875-35da82ebf1b6,true,,,2bd39912-7f4b-4a80-870a-7379c50d6816,2026-06-01T09:14:00+03:00
57705d2a-43ad-449c-8c85-e7c73d8ab481,2fba455a-6033-45c0-8ccd-898b396cb3a6,5ccdca99-b856-4230-83da-cb4b3b55c014,true,,,2bd39912-7f4b-4a80-870a-7379c50d6816,2026-06-01T09:15:00+03:00
45330535-1fdb-4f15-8446-f853c517fa74,2fba455a-6033-45c0-8ccd-898b396cb3a6,cbdce4b5-b07d-4561-845c-d2909319ad4b,true,,,2bd39912-7f4b-4a80-870a-7379c50d6816,2026-06-01T09:16:00+03:00
fb2fa684-607e-45ea-8ea9-50958b7b2c6f,2fba455a-6033-45c0-8ccd-898b396cb3a6,00251a4b-7856-4308-8c2b-5f12e149f704,true,,,2bd39912-7f4b-4a80-870a-7379c50d6816,2026-06-01T09:17:00+03:00
aa6affa5-df37-4d6f-8605-fd42e47acec9,3d0cfe94-f59c-4c57-8198-4861f3a7af02,86c7122b-8600-4c93-8ca8-9c726fc9619d,true,,,ba9adcce-05be-49e0-8ba9-432c658cb9bb,2026-06-01T22:10:00+03:00
0c81f04d-686d-48cc-8b2c-b880f4394a28,3d0cfe94-f59c-4c57-8198-4861f3a7af02,a890b1bb-506b-4e4f-8c68-bec1c4536790,true,,,ba9adcce-05be-49e0-8ba9-432c658cb9bb,2026-06-01T22:11:00+03:00
342001f6-bd3a-44f1-8c3f-70fc7b9f852c,3d0cfe94-f59c-4c57-8198-4861f3a7af02,15c32c85-1d6a-4050-85c0-7faa4d1eed6c,true,demo/KDS-CC/closing/1/2.jpg,,ba9adcce-05be-49e0-8ba9-432c658cb9bb,2026-06-01T22:12:00+03:00
ae18c5c1-df31-4430-87c8-d7caaa612d8c,3d0cfe94-f59c-4c57-8198-4861f3a7af02,987c0f5f-8b8c-40e4-82b2-4e2603b51b29,true,,,ba9adcce-05be-49e0-8ba9-432c658cb9bb,2026-06-01T22:13:00+03:00
62e9020e-69c6-41c7-83bb-af5a8c265475,3d0cfe94-f59c-4c57-8198-4861f3a7af02,6ff4643a-5324-4a5c-8c55-9a9a8e62e86d,true,,,ba9adcce-05be-49e0-8ba9-432c658cb9bb,2026-06-01T22:14:00+03:00
