id,template_id,location_id,location_code,title,checklist_date,checklist_kind,due_at,status,assigned_to,submitted_by,submitted_at
2fba455a-6033-45c0-8ccd-898b396cb3a6,bd8a94a5-ca90-4d85-8a2f-408135c86383,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,Daily Opening — Kids Driving School,2026-06-01,opening,2026-06-01T09:00:00+03:00,submitted,2bd39912-7f4b-4a80-870a-7379c50d6816,2bd39912-7f4b-4a80-870a-7379c50d6816,2026-06-01T09:15:00+03:00
3d0cfe94-f59c-4c57-8198-4861f3a7af02,c451fa27-7034-45a4-8733-74a1cc26e0a7,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,Daily Closing — Kids Driving School,2026-06-01,closing,2026-06-01T22:00:00+03:00,submitted,ba9adcce-05be-49e0-8ba9-432c658cb9bb,ba9adcce-05be-49e0-8ba9-432c658cb9bb,2026-06-01T22:15:00+03:00
0a85aa79-218b-401d-8a11-f82ac9fa4884,bd8a94a5-ca90-4d85-8a2f-408135c86383,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,Daily Opening — Kids Driving School,2026-06-02,opening,2026-06-02T09:00:00+03:00,submitted,2bd39912-7f4b-4a80-870a-7379c50d6816,2bd39912-7f4b-4a80-870a-7379c50d6816,2026-06-02T09:15:00+03:00
e91152fb-6e4e-4f28-8d06-f2fddcacfd31,c451fa27-7034-45a4-8733-74a1cc26e0a7,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,Daily Closing — Kids Driving School,2026-06-02,closing,2026-06-02T22:00:00+03:00,submitted,ba9adcce-05be-49e0-8ba9-432c658cb9bb,ba9adcce-05be-49e0-8ba9-432c658cb9bb,2026-06-02T22:15:00+03:00
09267079-d56a-4dc8-85f9-750d447897a9,bd8a94a5-ca90-4d85-8a2f-408135c86383,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,Daily Opening — Kids Driving School,2026-06-03,opening,2026-06-03T09:00:00+03:00,submitted,2bd39912-7f4b-4a80-870a-7379c50d6816,2bd39912-7f4b-4a80-870a-7379c50d6816,2026-06-03T09:15:00+03:00
bb2f9c89-7782-448f-809e-7afdbbfede3b,c451fa27-7034-45a4-8733-74a1cc26e0a7,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,Daily Closing — Kids Driving School,2026-06-03,closing,2026-06-03T22:00:00+03:00,submitted,ba9adcce-05be-49e0-8ba9-432c658cb9bb,ba9adcce-05be-49e0-8ba9-432c658cb9bb,2026-06-03T22:15:00+03:00
a4d1271d-b096-461e-8d23-abec462796c8,bd8a94a5-ca90-4d85-8a2f-408135c86383,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,Daily Opening — Kids Driving School,2026-06-04,opening,2026-06-04T09:00:00+03:00,submitted,2bd39912-7f4b-4a80-870a-7379c50d6816,2bd39912-7f4b-4a80-870a-7379c50d6816,2026-06-04T09:15:00+03:00
6f8e18db-36fa-4cc7-8818-00672b31e991,c451fa27-7034-45a4-8733-74a1cc26e0a7,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,Daily Closing — Kids Driving School,2026-06-04,closing,2026-06-04T22:00:00+03:00,submitted,ba9adcce-05be-49e0-8ba9-432c658cb9bb,ba9adcce-05be-49e0-8ba9-432c658cb9bb,2026-06-04T22:15:00+03:00
e8afb46d-b8ab-4dac-881d-8550f7f086c4,bd8a94a5-ca90-4d85-8a2f-408135c86383,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,Daily Opening — Kids Driving School,2026-06-05,opening,2026-06-05T09:00:00+03:00,submitted,2bd39912-7f4b-4a80-870a-7379c50d6816,2bd39912-7f4b-4a80-870a-7379c50d6816,2026-06-05T09:15:00+03:00
65eff856-5185-47a0-83f1-67c80b18b169,c451fa27-7034-45a4-8733-74a1cc26e0a7,7e560ae2-c3e8-485d-8658-ce093fe3d37d,KDS-CC,Daily Closing — Kids Driving School,2026-06-05,closing,2026-06-05T22:00:00+03:00,submitted,ba9adcce-05be-49e0-8ba9-432c658cb9bb,ba9adcce-05be-49e0-8ba9-432c658cb9bb,2026-06-05T22:15:00+03:00
